ATTR,2016,predict-advice
LAST YEAR TotalDrugReportsCounty,17469,+
TotalDrugReportsState,0,-
TotalDrugReportsState,115276,-
TotalDrugReportsState,0,-
TotalDrugReportsState,0,-
TotalDrugReportsState,0,+
HC01_VC03,75236,+
HC01_VC04,53431,+
HC01_VC06,22487,+
HC01_VC07,42204,-
HC01_VC08,16699,+
HC01_VC09,3311,-
HC01_VC10,1703,-
HC01_VC11,7916,+
HC01_VC12,4085,+
HC01_VC13,21805,+
HC01_VC14,17934,+
HC01_VC15,6922,+
HC01_VC17,25124,+
HC01_VC18,19495,+
HC01_VC20,2.65,+
HC01_VC21,3.14,+
HC01_VC25,199227,+
HC01_VC26,75236,+
HC01_VC27,42178,-
HC01_VC28,61596,-
HC01_VC29,10460,+
HC01_VC30,9757,-
HC01_VC31,3926,-
HC01_VC35,78490,-
HC01_VC36,22997,-
HC01_VC37,44643,-
HC01_VC38,1001,+
HC01_VC39,1993,-
HC01_VC40,7856,+
HC01_VC42,82214,+
HC01_VC43,19335,-
HC01_VC44,44342,-
HC01_VC45,1719,-
HC01_VC46,6887,+
HC01_VC47,9931,+
HC01_VC51,2326,-
HC01_VC52,735,-
HC01_VC53,33,+
HC01_VC54,51,+
HC01_VC55,24,-
HC01_VC56,97,-
HC01_VC57,22,+
HC01_VC61,4229,-
HC01_VC62,1727,-
HC01_VC64,259,-
HC01_VC65,620,-
HC01_VC66,308,+
HC01_VC67,540,-
HC01_VC69,1727,-
HC01_VC70,1128,-
HC01_VC71,1115,-
HC01_VC75,48130,+
HC01_VC76,2780,+
HC01_VC77,2887,+
HC01_VC78,21551,+
HC01_VC79,11304,-
HC01_VC80,9608,-
HC01_VC84,136065,-
HC01_VC85,3968,-
HC01_VC86,10193,+
HC01_VC87,45584,+
HC01_VC88,25783,+
HC01_VC89,12958,+
HC01_VC90,25022,-
HC01_VC91,12557,-
HC01_VC93,0,-
HC01_VC94,0,+
HC01_VC98,152236,-
HC01_VC99,14139,+
HC01_VC103,199788,-
HC01_VC104,25513,+
HC01_VC106,48780,-
HC01_VC107,1938,+
HC01_VC109,123652,-
HC01_VC110,14097,+
HC01_VC112,27356,+
HC01_VC113,9478,+
HC01_VC117,198737,+
HC01_VC118,176879,-
HC01_VC119,21570,+
HC01_VC120,12092,+
HC01_VC121,9478,+
HC01_VC122,6315,+
HC01_VC123,3163,+
HC01_VC124,288,+
HC01_VC128,201092,-
HC01_VC129,196932,+
HC01_VC130,195596,+
HC01_VC131,149324,+
HC01_VC132,46272,-
HC01_VC133,1336,+
HC01_VC134,4160,-
HC01_VC138,4160,-
HC01_VC139,2553,-
HC01_VC140,1607,-
HC01_VC144,5496,-
HC01_VC146,1336,+
HC01_VC147,211,-
HC01_VC148,1125,+
HC01_VC150,4160,+
HC01_VC151,514,+
HC01_VC152,3646,-
HC01_VC156,4160,+
HC01_VC157,1020,+
HC01_VC158,1997,+
HC01_VC159,135,-
HC01_VC160,28,+
HC01_VC161,747,-
HC01_VC162,233,+
HC01_VC166,188844,-
HC01_VC167,183144,-
HC01_VC168,5700,-
HC01_VC170,1423,-
HC01_VC171,2497,-
HC01_VC172,552,-
HC01_VC173,1751,-
HC01_VC174,418,-
HC01_VC175,1114,+
HC01_VC176,399,-
HC01_VC177,338,-
HC01_VC178,54,-
HC01_VC182,201092,-
HC01_VC183,44723,-
HC01_VC184,622,+
HC01_VC185,362,-
HC01_VC186,255,-
HC01_VC187,2642,+
HC01_VC188,19503,-
HC01_VC189,3880,+
HC01_VC190,509,+
HC01_VC191,54289,-
HC01_VC192,497,+
HC01_VC193,1019,-
HC01_VC194,26241,-
HC01_VC195,6987,+
HC01_VC196,132,-
HC01_VC197,887,-
HC01_VC198,3367,-
HC01_VC199,52,+
HC01_VC200,463,-
HC01_VC201,1517,-
HC01_VC202,3755,+
HC01_VC203,266,+
HC01_VC204,241,-
HC01_VC205,990,-
HC01_VC206,595,+
HC01_VC207,222,+
HC01_VC208,1587,+
HC01_VC209,18,-
